Clinic Name,URL,Street Address,Phone,Error
Alpha Private Surgery,https://www.centralwest.health.qld.gov.au/hospitals-and-health-centres/alpha-private-surgery,"1a Burns St
Alpha Qld 4724 | 1a Burns St
Alpha Qld 4724",07 4809 7002,
Aramac Primary Health Care,https://www.centralwest.health.qld.gov.au/hospitals-and-health-centres/aramac-primary-health-centre,"McAuliffe St
Aramac Qld 4726 | McAuliffe St
Aramac Qld 4726",07 4652 9000,
Atherton Hospital,https://cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/atherton-hospital,"Louise Street
Atherton QLD 4883 | Louise Street
Atherton QLD 4883",07 4091 0211,
Augathella Multipurpose Health Service,https://www.southwest.health.qld.gov.au/hospitals-and-health-centres/augathella-multipurpose-health-service,"Cavanagh St
Augathella Qld 4477 | Cavanagh St
Augathella Qld 4477",07 4656 7100,
Aurukun Primary Health Care Centre,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/aurukun-health-service,"810 Kang Kang Rd
Aurukun Qld 4892 | 810 Kang Kang Rd
Aurukun Qld 4892",07 4060 6700,
Ayr Hospital,https://www.townsville.health.qld.gov.au/facilities/ayr-health-service/,"e. In an emergency you should always call 000. For non-urgent health advice call 13 HEALTH (13 43 25 84) Contact Us 2 Chippendale Street Ayr, QLD 4807",4783 0855,
Babinda Multi-Purpose Health Centre,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/babinda-multi-purpose-health-centre,"128 Munro Street
Babinda QLD 4861 | 128 Munro Street
Babinda QLD 4861",07 4067 8200,
Baillie Henderson Hospital,https://www.health.qld.gov.au/services/darlingdowns/ddowns-baillie-hosp,"health.qld.gov.auContact usSearchMenu | health.qld.gov.auContact usSearchMenu | health.qld.gov.au | Contact DetailsHospital is open 24/7 but for general enquiries office hours are:9 am to 5 pmIn an emergency call 000Phone07 4616 6000Fax07 4616 6170Emailddhhs@health.qld.gov.auStreet addressCnr of Hogg and Tor StToowoomba Qld 4350Postal addressCnr of Hogg and Tor StToowoomba Qld 4350Visiting hoursWe have flexible visiting hours, please contact our facility to find out when you can visit a patient. Read more aboutvisiting someone in hospital.Our servicesWeoffer a range of serviceswith a focus on rehabilitation. These include cardiac and respiratory rehabilitation and geriatric adult and stroke rehabilitation. We also offer day therapy and dedicated clinics.If we don't offer the services you need, you'll be able to access them atToowoomba Hospitalor your closesthospital or health centre.Baillie Henderson Aquatic CentreThe pool is open to the public.Our opening times are:Monday to Thursday 5:30 am to 7 pmFriday 5:30 am to 5 pm.Phone07 4699 7148for more information.Fees effective from 1 January 2024Community members$38 for 1 month$98 for 3 months$190 for 6 months$340 for 12 monthsPensioners$25 for 1 month$62 for 3 months$125 for 6 months$225 for 12 monthsPlan your visitInformation to help you plan your visit to Baillie Henderson Hospital.Street address:Cnr of Hogg and Tor St, Toowoomba Qld 4350ParkingFree parking is available on campus. There's also disabled parking at most buildings.Drop off and pick up zonesDrop off and pick up areas are available throughout the campus.Public transportThe closest bus stop is on Tor St in front of Wilsonton Heights Plaza.You can find moreinformation about buseson the TransLink website or call13 12 30MapBaillie Henderson Hospital map [PDF 205 KB]CafeBaillie Henderson Hospital has a café on campus. Wellbean Co. is an enterprise of the Toowoomba Hospital Foundation.We sell hot and cold drinks. and fresh healthy food made onsite from locally sourced ingredients by our qualified chefs and baristas.Our opening hours are Monday to Friday 7 am to 2 pm.Phone orders on07 4699 8737.New Toowoomba HospitalThe new Toowoomba Hospital will deliver expanded health care services to the region to cater to its growing population.Find out moreLast updated:September 2024 | Contact DetailsHospital is open 24/7 but for general enquiries office hours are:9 am to 5 pmIn an emergency call 000Phone07 4616 6000Fax07 4616 6170Emailddhhs@health.qld.gov.auStreet addressCnr of Hogg and Tor StToowoomba Qld 4350Postal addressCnr of Hogg and Tor StToowoomba Qld 4350 | Contact DetailsHospital is open 24/7 but for general enquiries office hours are:9 am to 5 pmIn an emergency call 000Phone07 4616 6000Fax07 4616 6170Emailddhhs@health.qld.gov.auStreet addressCnr of Hogg and Tor StToowoomba Qld 4350Postal addressCnr of Hogg and Tor StToowoomba Qld 4350 | Contact DetailsHospital is open 24/7 but for general enquiries office hours are:9 am to 5 pmIn an emergency call 000Phone07 4616 6000Fax07 4616 6170Emailddhhs@health.qld.gov.auStreet addressCnr of Hogg and Tor StToowoomba Qld 4350Postal addressCnr of Hogg and Tor StToowoomba Qld 4350 | In an emergency call 000Phone07 4616 6000Fax07 4616 6170Emailddhhs@health.qld.gov.au | Emailddhhs@health.qld.gov.au | Street addressCnr of Hogg and Tor StToowoomba Qld 4350Postal addressCnr of Hogg and Tor StToowoomba Qld 4350 | Street addressCnr of Hogg and Tor StToowoomba Qld 4350 | Street addressCnr of Hogg and Tor StToowoomba Qld 4350 | Postal addressCnr of Hogg and Tor StToowoomba Qld 4350 | Postal addressCnr of Hogg and Tor StToowoomba Qld 4350 | Plan your visitInformation to help you plan your visit to Baillie Henderson Hospital.Street address:Cnr of Hogg and Tor St, Toowoomba Qld 4350ParkingFree parking is available on campus. There's also disabled parking at most buildings.Drop off and pick up zonesDrop off and pick up areas are available throughout the campus.Public transportThe closest bus stop is on Tor St in front of Wilsonton Heights Plaza.You can find moreinformation about buseson the TransLink website or call13 12 30MapBaillie Henderson Hospital map [PDF 205 KB] | Street address:Cnr of Hogg and Tor St, Toowoomba Qld 4350ParkingFree parking is available on campus. There's also disabled parking at most buildings.Drop off and pick up zonesDrop off and pick up areas are available throughout the campus.Public transportThe closest bus stop is on Tor St in front of Wilsonton Heights Plaza.You can find moreinformation about buseson the TransLink website or call13 12 30MapBaillie Henderson Hospital map [PDF 205 KB] | Street address:Cnr of Hogg and Tor St, Toowoomba Qld 4350 | Street address:Cnr of Hogg and Tor St, Toowoomba Qld 4350 | Cnr of Hogg and Tor St, Toowoomba Qld 4350 | ParkingFree parking is available on campus. There's also disabled parking at most buildings.Drop off and pick up zonesDrop off and pick up areas are available throughout the campus.Public transportThe closest bus stop is on Tor St in front of Wilsonton Heights Plaza.You can find moreinformation about buseson the TransLink website or call13 12 30MapBaillie Henderson Hospital map [PDF 205 KB] | ParkingFree parking is available on campus. There's also disabled parking at most buildings.Drop off and pick up zonesDrop off and pick up areas are available throughout the campus.Public transportThe closest bus stop is on Tor St in front of Wilsonton Heights Plaza.You can find moreinformation about buseson the TransLink website or call13 12 30MapBaillie Henderson Hospital map [PDF 205 KB] | Free parking is available on campus. There's also disabled parking at most buildings.Drop off and pick up zonesDrop off and pick up areas are available throughout the campus.Public transportThe closest bus stop is on Tor St in front of Wilsonton Heights Plaza.You can find moreinformation about buseson the TransLink website or call13 12 30MapBaillie Henderson Hospital map [PDF 205 KB] | The closest bus stop is on Tor St in front of Wilsonton Heights Plaza.","07 4699 7148, 07 4699 8737",
Badu Island Primary Health Care Centre,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/badu-island-primary-health-care-centre,"181 Tamwoy Street
Badu Island Qld 4875 | 181 Tamwoy Street
Badu Island Qld 4875",07 4069 4127,
Bamaga Hospital,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/bamaga-hospital,"82 Sagaukaz St
Bamaga Qld 4876 | 82 Sagaukaz St
Bamaga Qld 4876",07 4069 3166,
